9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"?BEAUHARNAIS, Fanny de";"Les noeuds enchantés ou la bizarrerie des destinées";;
"?BEAUHARNAIS, Fanny de";"Constance ou le triomphe de l’infortune, roman sentimental par madame la comtesse de Beauharnois, troisième édition, revue, corrigée et augmentée";;
"?ROSS, mistriss";"Le pour et le contre ou la vieille fille et la femme mariée, traduit de l’anglais de mistriss Ross";;
"175 72.R65 RICCOBONI, Marie-Jeanne Laboras de Mézières, madame Histoire de M. le marquis de Cressy 58.17 72.R66 RICCOBONI, Marie-Jeanne Laboras de Mézières, madame";"Les orphelins de Perse, histoire orientale, tirée d’un manuscrit persan & enrichie de notes curieuses & instructives";;
"187 74.R52 LEGOUX DE GERLAN, Bénigne";"Les amours malheureux d’un Vendéen";;
"7ALLINGTON, Maria d’";"Rosolia ou les mystères de Glaswerca, par Maria Dallington, traduit de l’anglais par Levéque, auteur de plusieurs ouvrages";;
"7MARÉCHAL, Pierre-Sylvain";"Mélanges tirés d’un petit porte-feuille";;
"ABBES DE CABREROLES, d’";"Voyage dans les espaces";;
"ACHILLES TATIUS";"Les amours de Leucippe et de Clitophon, nouvellement traduit du grec d’AchUles Tatius";;
"AIKIN, John et Anna Letitia Aikin, Mrs BARBAULD t";"Les soirées au logis ou l’ouverture du porte-feuille de la jeunesse, renfermant un mélange de pièces diverses pour l’instruction des jeunes personnes, traduites de l’anglais";;
"AILÉ";"Œuvres diverses de M. Ailé";;
"ALC1PHRON";"Lettres grecques par le rhéteur Alciphron ou anecdotes sur les mœurs et les usages de la Grèce, traduites pour la première fois en françois, avec des notes historiques & critiques";;
"ALEMAN, Mateo";"Les avantures plaisantes de Gusman d’Alfarache, tirées de l’histoire de sa vie & revues sur l’ancienne traduction de l’original espagnol";;
"ALGAROTTI, comte Francesco";"Cythère de monsieur Algarotti, traduit de l’italien en françois";;
"ALGAROTTI, comte Francesco";"Le congrès de Cythère du comte Algarotti, traduit en français sur la septième et dernière édition";;
"ALGAROTTI, comte Francesco";"Les matinées du Palais Royal";;
"ALGAROTTI, comte Francesco";"Le congrès de Cythère, traduit de l’italien de M. le comte";;
"ALGAROTTI, comte Francesco. John HAWKESWORTH, ct LUCIEN DE SAMOSATE, Lorenzo PIGNOTTI, Luis de ULLOA Y PEREIRA, et des AUTEURS INCONNUS,";"Mélanges de littérature étrangère";;
"ALI TCHELEBIIBN SALIH";"Contes et fables indiennes de Bidpaï et de Lokman, traduites d’Ali Tchelebi-ben-Saleh, auteur turc, ouvrage commencé par feu M. Galland, continué & fini par M. Cardonne, secrétaire interprète du Roi pour les langues orientales, professeur en langue arabe au Collège royal, inspecteur de la librairie & censeur royal";;
"amis, histoire morale & intéressante, traduite de l’allemand";;;
"ANDRÉ, Jean-François";"Suzette ou tout comme a fait ma mère, par J1)-Fr. André";;
"ANDRÉ, Jean-François";"La méchante femme et le bon jeune homme";;
"ANDRÉ, Jean-François et Antoine SÉRIEYS";"Le comte d’A**** ou les aventures d’une jeune voyageur sorti de la cour de France en 1789, ouvrage publié d'après le manuscrit original";;
"ANDRIEUX, François-Guillaume-Jean-Stanislas";"Contes et opuscules en vers et en prose, suivis de poésies fugitives, par Andrieux, de l’Institut national";;
"ANSART, dom André-Joseph";"Les aventures du chevalier de Lorémi, écrites par lui-même";;
"ANTOINETTE WALPURGIS DE BAVIÈRE, princesse de m";;;
"APOLLONIUS DE RHODES";"L’expédition des Argonautes ou la conquête de la toison d’or, poème en quatre chants par Apollonius de Rhodes, traduit pour la première fois du grec en françois par J.J.A. Caussin, professeur au Collège de France";;
"APULÉE";"Psyché et Cupidon, épisode traduit du latin en français";;
"APULÉE";"Les métamorphoses ou l’âne d’or d’Apulée, philosophe plato nicien, nouvelle édition ornée de figures en taille-douce";;
"ARBLAY, Frances Burney, madame d’";"Cecilia ou mémoires d’une héritière, par l’auteur d’Evelina, traduits de l’anglois";;
"ARBLAY, Frances Burney, madame d’";"Evelina ou l’entrée d’une jeune personne dans le monde, ouvrage traduit de l’anglois";;
"ARBLAY, Frances Burney, madame d’ ,";"Camilla ou la peinture de la jeunesse, traduit de l’anglais de miss Burney, auteur de Cécilia et A’Evélina";;
"ARBUTHNOT, John";"Le procès sans fin ou l’histoire de John Bull, publiée sur un manuscrit trouvé dans le cabinet du fameux sire Humfroy Polesworth en l’année 1712 par le docteur Swift.";;
"ARBUTHNOT, John John GAY, Alexander POPE et d’autres, adapt. par Bénigne DUJARDIN et Godefroy SELLIUS";"La double beauté, roman étranger";;
"ARBUTHNOT, John, John GAY, Alexander POPE et en* d’autres";"Histoire de Martinus Scriblérus, de ses ouvrages & de ses découvertes, traduite de l’anglois de monsieur Pope";;
"ARBUTHNOT, John. John GAY, Alexander POPE et d’autres";"Œuvres diverses de Pope, traduites de l’anglois. Nouvelle édition considérablement augmentée";;
"ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’";"Le palais du silence, conte philosophique";;
"ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’";"Le roman du jour, pour servir à l’histoire du siècle";;
"ARCQ, Philippe-Auguste de Sainte-Foix, chevalier d’";"Lettres d’Osman";;
"ARDÈNE, Esp. -J. Rome d’";"Œuvres posthumes de monsieur d’Ardène, associé à l’Académie des belles-lettres de Marseille";;
"ARETINO, Pietro Bacci, dit";;;
"ARGENS, Jean-Baptiste de Boyer, marquis d’";"Amour vainqueur des préjugés et couronné par la bienfaisance ou mémoires du comte de Rosnay & du marquis d’Orronville, ouvrage posthume de M. le marquis d’Argens";;
"ARIOSTO, Lodovico";"Roland furieux, poème héroïque de l’Ariostc, nouvelle traduction, par MM. Panckoucke et Framery";;
"ARIOSTO, Lodovico";"Choix de tableaux tirés de diverses galeries anglaises par monsieur Berquin";;
"ARIOSTO, Lodovico";"Roland furieux, poème héroïque de l’Arioste, traduction nouvelle par M. Cavailhon";;
"ARIOSTO, Lodovico";"Roland furieux, poème héroïque de l’Arioste, nouvelle traduction par M. le comte de Tressan";;
"ARISTÉNÈTE";"Manuel des boudoirs, ou essais érotiques sur les D""es d’Athènes, ouvrage plus moral qu’on ne pense, tiré en partie du portefeuille secret du secrétaire grec du Scythe Anacharsis Cythere, avec licence des";;
"ARISTÉNÈTE";"Lettres galantes d’Aristénète, traduites du grec";;
"ARNAUD, François-Thomas-.Marie de Baculard d’";"Suite des Epreuves du sentiment par M. d’Arnaud, tome cinquième, quatrième anecdote, Amélie";;
"ARNAUD, François-Thomas-Marie de";"Baculard d* Bathilde ou l’héroïsme de l’amour, anecdote historique par M. d’Arnaud";;
