9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"CERVANTES SAAVEDRA, Miguel de";"Nouvelles espagnoles de Michel de Cervantès, traduction nouvelle avec des notes, ornée de figures en taille-douce, par M. Le Febvre de Villebrune, Théodosie et Léocadie, nouvelle troisième";;
"CERVANTES SAAVEDRA, Miguel de";"Nouvelles espagnoles de Michel de Cervantès, traduction nouvelle avec des notes, ornée de figures en taille-douce, par M. Le Febvre de Villebrune, Le sot curieux, nouvelle sixième";;
"CERVANTES SAAVEDRA, Miguel de";"Nouvelles espagnoles de Michel de Cervantès, traduction nouvelle avec des notes, ornée de figures en taille-douce, par M. Le Febvre de Villebrune, L’illustre Frégone, nouvelle huitième";;
"CERVANTES SAAVEDRA, Miguel de";"Nouvelles espagnoles de Michel de Cervantes, traduction nouvelle avec des notes, ornée de figures en taille douce, L’amant libéral, nouvelle seconde";;
"CERVANTES SAAVEDRA. Miguel de";"Nouvelles espagnoles de Michel de Cervantès, traduction nouvelle avec des notes, ornée de figures en taille-douce, par M. Le Febvre de Villebrune, Les filoux, nouvelle douzième";;
"CESAROTTI, abbé Melchior et un AUTEUR INCONNU et";"Les Samiens, conte, traduit de l’anglois, le Phoenix, apologue arabe, Calliste et Philétor, fragment d’une nouvelle greque (sic), traduits l’un et l’autre de l’italien";;
"CH ARRIÈRE, Isabclle-Agnés-Êlisabeth van";"Tuyll van Seroos- kerken van Zuylen, dame de Lettre à M. Necker sur son administration, écrite par lui-mème, suivie d’Aiglonette et Insinuante, conte, par l’auteur de Bien-né, des Trois règnes, conte, par M***, et d’un Décret sur la constitution civile du clergé";;
"CHAINEL, Philippe-Antoine";"Histoire d’une cause célèbre traitée au temple de la Gloire, toutes les nations assemblées, la veille des ides de décembre de la première année du 272e lustre depuis la fondation de la monarchie françoise B";;
"CHAISNEAU, abbé";"Charles Areas, pastorale sur les assemblées provinciales, par M. l’abbé Chaisneau, curé de Maillot près de Sens";;
"CHAISNEAU, abbé Charles";"Pastorales dédiées à la nation, par M. Chaisneau, curé de Plombières près Dijon";;
"CHAMBERT, Pierre";"Démétrius ou l’éducation d’un prince, ouvrage en vingt livres par M. Chambert, avocat au parlement";;
"CHAMPAGNY, Charles de Nompère, chevalier de";"Les voyages d’Amour, fils de Vénus, par M. le chevalier de Ch - gny, officier de cavalerie Paris, Théophile Barrois le jeune, ce mois de mai de l’année";;
"CHAMPIGNY";"La cour et la nation ou les deux sœurs, parabole tirée de l’évangile du jour";;
"CHAMPIGNY, colonel chevalier Jean de";"Mémoires de miss Fanny Palmer, histoire galante, politique et morale, en trois parties, par le colonel chevalier de Champigny";;
"CHAMPION DE NILON, le père Charles-François";"Nouvelles histoires et paraboles, par l’auteur du Catéchisme pratique";;
"CHARITON D’APHRODISIAS";"Histoire des amours de Chéréas et de Callirrhoë, traduite du grec, avec des remarques";;
"CHARITON D’APHRODISIAS";"Tubières-Grimoard de Pestels de Levis, comte de Tout vient à point [à] qui peut attendre ou Cadichon, suivi de Jeannette ou l’indiscrétion, contes par feu le comte de Caylus, pour servir de supplément aux contes de fées de madame d’Aulnoy, avec une préface de l’auteur";;
"CHARLTON, Marv";"Andronica ou l’épouse fugitive, traduit de l’anglais par le général Lasalle, avec une préface et une correspondance relative â l’ouvrage, trois volumes avec figures";;
"CHARLTON, Mary";"Phédora ou la forêt de Minski, traduit de l’anglais par André Morellet";;
"CHARPENTIER, Louis";"Mémoires d’un citoyen ou le code de l’humanité";;
"CHARPENTIER, Louis";"L’orphelin normand ou les petites causes et les grands effets";;
"CHARPENTIER, Louis";"Nouveaux contes moraux ou historiettes galantes et morales par M. C***";;
"CHARPENTIER, Louis";"Vos loisirs par monsieur Charpentier, auteur des Nouveaux contes moraux";;
"CHARPENTIER, Louis";"L’élu et son président ou histoire d’Eraste et de Sophie";;
"CHARR1ÉRE, Isabelle-Agnès-Élisabeth van";"Tuyll van Serooskerken van Zuylen, dame de L’abbé de la Tour ou recueil de nouvelles et autres écrits divers";;
"CHARR1ÈRE, Isabelle-Agnès-Elisabeth van";"Tuyll van Scroos-kerken van Zuylen, dame de Caliste ou continuation des Lettres écrites de Lausanne, seconde partie";;
"CHARRIÈRE, Isabelle-Agnès-Elisabeth van";"Tuyll van Seroos- kerken van Zuylen, dame de Lettres écrites de Lausanne";;
"CHARRIÈRE, Isabelle-Agnès-Elisabeth van";"Tuyll van Serooskerken van Zuylen, dame de Lettres de mistriss Henley, publiées par son amie";;
"CHARRIÈRE, Isabelle-Agnès-Elisabeth van";"Tuyll van Serooskerken van Zuylen, dame de Lettres neuchâteloises, roman";;
"CHARRIÈRE, Isabelle-Agnès-Elisabeth van";"Tuyll van Serooskcrken van Zuylen, dame de Observations et conjectures politiques";;
"CHARRIÈRE, Isabelle-Agnès-Élisabeth van";"Tuyll van Serooskerken van Zuylen, dame de Lettres trouvées dans des porte-feuilles d’émigrés";;
"CHARRIÉRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de";"Les trois femmes, nouvelle, par l’auteur des Lettres de Lausanne, publiée pour le soulagement d’une de ses amies dans le malheur";;
"CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de";"Les deux familles, conte";;
"CHARRIÈRE, Isabelle-Agnès-Elisabeth van Tuyll van Serooskerken van Zuylen, dame de";"Le noble, conte moral";;
"CHAUDON DE LA MEDE";"Histoire très plaisante arrivée à un bossu amoureux de la ville d’Angoulême";;
"CHAUSSARD, Pierre-Jean-Baptiste, dit Publicola";"Histoire de la galanterie chez les différens peuples";;
"CHAUSSARD, Pierre-Jean-Baptiste, dit Publicola";"Le nouveau diable boiteux, tableau philosophique et moral de Paris, mémoires mis en lumière et enrichis de notes par le docteur Dicaculus de Louvain";;
"CHÉRENSI, B. Frere de";"Les prémices de ma jeunesse ou Arlequin héros dans le royaume de Cathai, en l’an du Seigneur 12012, par B.F.D. Chérensi";;
"CHEVRIER, François-Antoine";"La vie du fameux père Norbert, ex-capucin, connu aujourd’hui sous le nom de l’abbé Platel, par l’auteur du Colporteur";;
"CHEVRIER, François-Antoine";"Histoire de la vie de H. Maubert, soi-disant chevalier de Gouvest, gazettier à Bruxelles et auteur de plusieurs libelles politiques, mise en lumière pour l’utilité publique";;
"CHEVRIER, François-Antoine";"Les amusemens des dames de B***, histoire honnête et presque édifiante, composée par feu le chevalier de Cil***** et publiée par l’auteur du Colporteur";;
"CHEVRIER, François-Antoine";"Minakalis, fragment d’un conte siamois";;
"CHEVRIER, François-Antoine";"Mémoires d’une honnête femme écrits par elle-même et publiés par M. de Chevrier";;
"CHEVRIER, François-Antoine";"Le quart d’heure d’une jolie femme ou les amusements de la toilette, ouvrage presque moral dédié à messieurs les habitans des coins du roi et de la reine et précédé d’une préface sur la comédie par mademoiselle de *****";;
"CHEVRIER, François-Antoine";"Mémoires de madame la baronne de Saint Clair";;
"CHEVRIER, François-Antoine";"Les ridicules du siècle";;
"CHEVRIER, François-Antoine";"Cela est singulier, histoire égyptienne traduite par un rabin génois";;
"CHEVRIER, François-Antoine";"Le colporteur, histoire morale et critique par M. de Chevrier";;
"CHIARI, Pietro";"Aventures d’une sauvage, écrites par elle-même et publiées en françois par M. Grainville";;
"CHIARI, Pietro";"Adriene ou les aventures de la marquise de N.N., traduites de l’italien par M.D.L.G.";;
"CHIARI, Pietro";"La cantatrice par infortune ou les aventures de madame de N.... N.... écrites par elle-même";;
"CHICANEAU DE NEUVILLE, Didier-Pierre L’oracle de";"Cithère";;
"CHIN1AC DE LA BASTIDE, Jean-Baptiste de";"Le miroir fidèle ou entretiens d’Ariste et de Philindor. Cet ouvrage renferme des réflexions politiques et morales avec un plan abrégé d’éducation opposé aux principes du citoyen de Genève. Par M. le chevalier de C*** de La B***";;
"CHINIAC DE LA BASTIDE DU CLAUX, Pierre de";"Lieb-Rose ou l’épreuve de la vertu, histoire scythe, traduite de l’allemand par M. le chevalier de ***";;
"CHODERLOS DE LACLOS, Pierre-Ambroise-François";"Les liaisons dangereuses ou lettres recueillies dans une société & publiées pour l’instruction de quelques autres, par M. C.....de L . . .";;
"CHOISEUL-MEUSE, comtesse Félicité de";"Alberti ou l’erreur de la nature, par madame de C**, auteur de Coralie ou le danger de se fier à soi-même, suivi de Mélusine";;
"CHOISEUL-MEUSE, comtesse Félicité de";"Coralie ou le danger de se fier à soi-même, par madame de CH....";;
"CHOMEL, Antoine-Angélique c";"Répertoire anglois ou recueil de littérature, d’histoires et d’anecdotes angloises";;
"CILED, F.-A.";"Les amours et avantures de sir Nigaudinet et de Codindine, histoire récente et véritable, par le C. F.-A. Ciled";;
"CLELAND, John";"Nouvelle traduction de Woman of Pleasur (sic) ou Fille de Joye de M. Cleland, contenant les mémoires de Mlle. Fanny écrits par elle-même";;
"CLELAND, John";"Les erreurs de l’amour-propre ou mémoires de mylord D***, imités de l’anglois par M. de La Place";;
"COIFFIER DE MORET, Simon";"Les enfans des Vosges ou mémoires d’un vieillard alsacien, rédigés par S.C.";;
"COIFFIER DE VERSEUX, Henri-Louis";"Le chevalier noir, nouvelle du huitième siècle, par Mf H.C.";;
"COLLEVILLE, Anne-Hyacinthe de Saint-Léger, dame de";"Lettres du chevalier de Saint-Alme et de mademoiselle de Melcourt, par mademoiselle de ***";;
"COLLEVILLE, Anne-Hyacinthe de Saint-Léger, dame de";"Alexandrine ou l’amour est une vertu, par mademoiselle de S***";;
"COLLEVILLE, Charles-Denis";"Renelle ou les amants des bords de l’Arno, roman pastoral";;
"colonel chevalier Jean de";"Le dépit et le voyage, poème, avec des notes, suivi des Lettres vénitiennes";;
"COMBE, William";"Maria ou lettres d’un gentilhomme anglois & une religieuse, traduites de l’anglois";;
"COMBE, William";"Lettres d’un jeune lord à une religieuse italienne, imitées de l’anglois par madame ***";;
"COMPAGNONI, Giuseppe";"Les veillées du Tasse, manuscrit inédit mis au jour par Compagnoni et traduit de l’italien par J.F. Mimault";;
"COMPAN, abbé";"Le temple de la piété et recueil d’oeuvres diverses par l’auteur de l’Esprit de la religion chrétienne";;
"COMPAN, Charles";"Nouvelles espagnoles de Michel de Cervantes, traduction nouvelle avec des notes, ornée de figures en taille douce. La bohémienne, nouvelle première";;
"COMPAN, Charles";"Le palais de la frivolité par M. Compan";;
"COMPAN, Charles";"La nature vengée ou la réconciliation imprévue, par M. C**";;
"COMPAN, Charles";"Le mariage, par monsieur C***";;
"CONDREN-SUSANNE, A. -C. -L.";"Confidence d’un jeune homme, par A.C.L. Condren-Susanne";;
"CONSTANT DE REBECQUE, Samuel de";"Le mari sentimental ou le mariage comme il y en a quelques-uns, lettres d’un homme du pays de Vaud écrites en 178...";;
"CONSTANT DE REBECQUE, Samuel de";"Camille ou lettres de deux filles de ce siècle, traduites de l’anglois sur les originaux";;
"CONSTANT DE REBECQUE, Samuel de";"Laure ou lettres de quelques femmes de Suisse";;
"CONTANT D’ORVI LLE, André-Guillaume";"Sophie ou mémoires intéressans pour servir à l’histoire des femmes du dix-huitième siècle, extraits des papiers de madame la baronne de Franquini";;
"CONTANT D’ORVILLE, André-Guillaume";"Romans moraux pour servir de supplément à la Bibliothèque de campagne, par M. Contant d’Orville";;
"CONTANT D’ORVILLE, André-Guillaume";"Mémoires d’Azéma, contenant diverses anecdotes des règnes de Pierre le Grand, empereur de Russie et de l’impératrice Catherine son épouse, traduits du russe, par M.C.....D.....";;
"CONTANT D’ORVILLE, André-Guillaume";"Le mariage du siècle ou lettres de madame la comtesse de Castelli à madame la baronne de Fréville, par Monsieur Contant d’Orville En";;
"CONTANT D’ORVILLE, André-Guillaume";"L’humanité, histoire des infortunes du chevalier de Dampierre, contenant des anecdotes sêcrettes et particulières sur les dernières révolutions de Perse";;
"CONTANT D’ORVILLE, André-Guillaume";"Métamorphoses de l’amour, par monsieur C*** D***";;
"CONTANT D’ORVILLE, André-Guillaume";"Ancienne chronique de Gérard d’Euphrate, duc de Bourgogne, traitant pour la plupart son origine, jeunesse, amours & chevalereux faits d’armes, avec rencontres & aventures merveilleuses de plusieurs chevaliers & grands seigneurs de son temps, extraite de l’édition de Paris 1549, in-folio, remise en françois moderne & augmentée de la conclusion de ce roman";;
"CONTANT D’ORVILLE, André-Guillaume";"La destinée ou mémoires du lord Kilmarnoff. traduits de l’anglois de miss Voodwill par M. Contant d’Orville";;
"CONTANT D’ORVILLE, André-Guillaume";"L’enfant trouvé ou mémoires de Menneville";;
"COOPER, Maria Susanna";"Lettres d’Henriette et d’Emilie traduites de l’anglois par madame G.D.D.S.G.";;
"COSTARD, Jean-Pierre";"Les orphelins, conte moral mis en action en forme de pièce dramatique en cinq actes et en prose, par M.D.C***";;
"COTENEUVE, de";"La confiance trahie ou lettres du chevalier de Murcy, par M. de Coteneuve";;
"COTENEUVE.de";"Le diable amoureux, nouvelle espagnole";;
"COTTIN, Sophie Ristaud, dame";"Malvina, par madame ***, auteur de Claire d'Albe";;
"COTTIN, Sophie Ristaud, dame";"Claire d’Albe, par la C. ***";;
"COURCELLES";"Suite de l’histoire du chevalier des Grieux et de Manon Lescau t";;
"COURET DE VILLENEUVE, Louis-Pierre";"Recueil pour servir de suite aux Lectures pour les enfans & les jeunes-gens ou choix de petits contes également propres à les amuser & à leur inspirer le goût de la vertu";;
"COUTAN (maitre-boutonnicr)";"Les aventures de Choerée et de Callirrhoé, traduites du grec par M. Fallet";;
"COVENTRY, Francis";"Histoire du petit Pompée ou la vie et les aventures d’un chien de dame, imitée de Langlois, par J.H.D. B****";;
"COVENTRY, Francis";"La vie et les avantures du petit Pompée, histoire critique traduite de l’anglois par Mr. Toussaint";;
"COYER, abbé Gabriel-François";"Chinki, histoire cochinchinoise qui peut servir à d’autres pays";;
"CREBILLON, Claude-Prosper Jolyot de";"Ah! quel conte! conte politique et astronomique";;
"CREBILLON, Claude-Prosper Jolyot de";"Le hazard du coin du feu, dialogue moral";;
"CRÉBILLON, Claude-Prosper Jolyot de";"La nuit et le moment ou les matines de Cythère, dialogue";;
"CRÉBILLON, Claude-Prosper Jolyot de";"Histoires édifiantes et curieuses tirées des meilleurs auteurs, avec des réflexions morales sur les différents sujets, par l’auteur de Mme élevée à Dieu";;
"CRÉBILLON, Claude-Prosper Jolyot de, Anne-Gabriel MEUS-cn NIER DE QUERLON, Jean-Jacques ROUSSEAU et d’autres, adapt. par ?";"Le temple de Vénus";;
"CRÉBILLON. Claude-Prosper Jolyot de";"Lettres de la duchesse de *** au duc de ***";;
"CRILLON, Louis-Athanase Des Balbes de Berton, abbé de";"Mémoires philosophiques du baron de ***, grand chambellan de Sa Majesté l’Impératrice Reine Vienne en";;
"CROCE, Giulio Cesare";"Histoire de Bertholde, traduction libre de l’italien de Julio Cesare Croci et des académiciens délia Crusca";;
"CUBIÈRES-PALMÉZAUX, Michel de";"L’école des filles, histoire morale par monsieur le chevalier de Cubières";;
"CUBIÈRES-PALMÉZEAUX, Michel de";"Misogug ou les femmes comme elles sont, histoire orientale traduite du chaldéen";;
"CUBIÈRES-PALMÉZEAUX, Michel de, Jean DEVAINES, c P.-M. de GRAVE, Pierre-Sylvain MARÉCHAL et des AUTEURS INCONNUS";"Les folies sentimentales ou l’égarement de l’esprit par le cœur, recueil d’anecdotes nouvelles, contenant Lucile et Lindamore, par M. le Ch. de C., la Folle de St. Joseph, par M. le Ch. de G., Bedlam, tiré de l’Homme sensible, la Démence d’Ellinor, le Fou par amour, par M. Silvain M., la Folle du Pont-Neuf, par M.P. et une anecdote flamande";;
"CUMBERLAND, Richard";"] ou le triomphe de l’amour et de la constance, imité de l’anglais de M. Cumberland";;
"CUMBERLAND, Richard";"Arundel, par R. Cumberland, auteur de Henry, traduit de l’anglais par B. Ducos";;
"CUMBERLAND, Richard";"L’heureuse révolution ou histoire de M. Arundel, imitée de l’anglois de M. Cumberland, auteur de l’Observateur &c.";;
"CUMBERLAND, Richard";"Henry, traduction de l’anglais";;
"CUVELIER DE TRIE, Jean-Guillaume-A.";"Le damoisel et la bergerette ou la femme vindicative, historiette du XVIe. siècle, divisée en trois chapitres, par le citoyen Cuvelier, de la Commission de l’Instruction publique";;
"CUVELIER DE TRIE, Jean-Guillaume-A.";"La fille hussard ou les aventures d’un jeune sergent, roman par J.G.A. Cuvelier";;
"DA Y, Thomas";"Histoire du petit Jacques, ouvrage moral, à la portée des enfans, traduit de l’anglais";;
"DABAYTUA";"Les aventures de mon cousin";;
"DACIER";"Mémoires pour servir à l’histoire de l’infortunée Julie et à celle de bien des autres, par M. Dacier, neveu du grand Dacier & colporteur de livres suivant la cour";;
"DAMIENS DE GOMICOURT, Auguste-Pierre";"Dorval ou mémoires pour servir à l’histoire des moeurs du XVIIIe siècle";;
"DAMIN, Louis";"Lycas et Chloé ou la bergère coquette et corrigée, ouvrage qui peut servir à l’instruction des jeunes personnes";;
"DAMIN, Louis";"Voyage de Chantilly, par le citoyen Damin";;
"DANTAL, Charles";"Hipparchie et Cratès, conte philosophique, renouvelé des Grecs, par un habitant de Potsdam";;
"DANTE ALIGHIERI";"L’enfer, poème du Dante, traduction nouvelle";;
"DANTE ALIGHIERI";"Colbert, mnt duc d’ESTOUTEVILLE et revu par Marie-Farançois SALLIOR La divine comédie de Dante Alighieri, contenant la description de l’enfer, du purgatoire et du paradis";;
"DANTE ALIGHIERI";"La Divine Comédie de Dante Alighieri, l’Enfer, traduction françoise, accompagnée du texte, de notes historiques, critiques & de la vie du poète, par M. Moutonnet de Clairfons";;
"DANTU, Antoine-Marie c";"Mémoires historiques et galans de l’Académie de ces dames et de ces messieurs, ouvrage rédigé par Antoine-Martin Vadé, secrétaire de l’académie";;
"Darius, madame";;;
"DAUBENTON, Marguerite";"Zélie dans le désert, par madame D........";;
"DAUBENTON, Marguerite";"Supplément à l’histoire de Zélie dans le désert, par madame D......, pour servir de suite à la première & seconde édition";;
"DAUPHIN";"La dernière Héloïse ou lettres de Junie Salisbury, recueillies et publiées par M. Dauphin, citoyen de Verdun";;
"DAY, Thomas";"Sandford et Merton, traduction libre de l’anglois, par M***";;
"DE FOE, Daniel";"Robinson Crusoé, nouvelle imitation de l’anglois par M. Feutry";;
"de notes pour servir à l’intelligence du texte, par M......";;;
"de Wieland, traduit de l’allemand par M. de Laveaux";;;
"DECAMBON VAN DER WERKEN, Maria Gertruida t";"Le petit Grandisson, traduction libre du hollandois";;
"DECREMPS, Henri";"Les petites aventures de Jérôme Sharp, professeur de physique amusante, ouvrage contenant autant de tours ingénieux que de leçons utiles, avec quelques petits portraits à la manière noire, par l’auteur de la Magie blanche";;
"DEFOE, Daniel";"Histoire corrigée de Robinson Crusoé dans son isle déserte, ouvrage rendu propre à l’instruction de la jeunesse sur l’avis et le plan de Jean-Jacques Rousseau";;
"DEFOE, Daniel";"The life and most surprising advcntures of Robinson La vie et très surprenantes aventures de Robinson Crusoe of York, mariner, who lived eight and twenty Crusoé d’York, marin, qui vécut huit et vingt years in an 2 uninhabited 1 island on the coast of ans dans une inhabitée isle sur la côte d’ America, near the mouth of the great river Oroonoquc Amérique, près de l’embouchure de la grande rivière Orénoque with an account of his deliverance thence and 2 his avec une relation de sa délivrance de cet endroit et (de) ses I after surprising advcntures ensuite surprenantes aventures";;
"DEFOE, Daniel";"L’isle de Robinson-Crusoé, extraite de l’anglois par M. de Montreillc";;
"DEFOE, Daniel";"Mémoires et avantures de Mad>le Moll Flanders, traduit (sic) de l’anglois";;
"DÉJARDIN DE COURCELLES, madame, née Tournay";"Contes sages et fous, par madame ***";;
"DEKEN, madame Agathe et Elisabeth Bckker, dame t WOLFF";"Histoire de mademoiselle Sara Burgerhart, publiée en forme de lettres par mesdames E. Bekker, veuve du ministre Wolff & A. Deken, traduite du hollandois d’après la seconde édition";;
"DELACROIX, Jacques-Vincent";"Guillard de n L’élève de la nature, nouvelle édition augmentée d’un volume & ornée de figures en taille-douce";;
"DELACROIX, Jacques-Vincent";"Lettres d’Affi à Zurac, publiées par M. de Lacroix";;
"DELACROIX, Jacques-Vincent";"Mémoires du chevalier de Gonthieu, publiés par M. de La Croix";;
"DELACROIX, Jacques-Vincent";"Le spectateur en Prusse, par M. de La Croix";;
"DELACROIX, Jacques-Vincent";"Mémoires de Victoire";;
"DELBARE, François-Thomas";"Zénobie ou la nouvelle Cœlina, par Th. Delbarre";;
"DELINDRE, Jean-Baptiste";"L’art de se faire aimer de sa femme, par J*** B*** D***, publié par Hautbout l’aîné";;
"DELISLE DE SALES, Jean-Baptistc-Gaude";"Izouard, dit n Théâtre d’un poète de Sybaris, traduit pour la première fois du grec, avec des commentaires, des variantes et des notes...";;
"DELISLE DE SALES, Jean-Baptiste-Claude Izouard, dit";"Colette ou la vertu couronnée par l’amour, conte moral, par M. Compan";;
"DELISLE DE SALES, Jean-Baptiste-Claude Izouard, dit";"Ma république, auteur Platon, éditeur J. de Sales Ouvrage destiné à être publié l’an";;
"DELISLE DE SALES, Jean-Baptiste-Qaude Izouard, dit";"Le vieux de la montagne, histoire orientale, traduite de l’arabe par l’auteur de la Philosophie de la nature";;
"DEMOUSTIER, Charles-Albert";"Lettres à Émilie sur la mythologie, par M. de Moustier";;
"DENON, baron";"Dominique Vivant et d’autres L’abeille littéraire ou choix des morceaux les plus intéressants de philosophie, d’histoire, de littérature, de poésie, etc.";;
"DERESTE";"Emilie ou la nouvelle Clarisse, par le C. Dereste, auteur de plusieurs ouvrages littéraires";;
"dernoot et Van-Cuper, de S. Em. le cardinal de Malines et de leurs adhérents";;;
"des Bramines & traduit de l’indous par un des missionnaires de la Société muette de la Modération, nouvelle édition";;;
"DES ESSARTS, chevalier";"Le livre à la mode ou le philosophe rêveur, ouvrage dans lequel on trouve plusieurs particularités singulières & intéressantes pour tous les états de la vie par le chevalier Des Essarts";;
"DESBIEFS, Louis";"L’heureuse victime ou le triomphe du plaisir";;
"DESBIEFS, Louis";"Nine, par M. D. B.";;
"DESCHAMPS DE SAUCOURT";"Baby-Bambou, histoire archi-inerveilleusc, publiée par M.D. de S. Chimêronville &";;
"DESFONTAINES, François-Georges Fouques, dit";"Laura et Incsillc ou les orphelines espagnoles, par Desfontaines";;
"DESFONTAINES, François-Georges Fouques, dit";"Lettres de Sophie at du chevalier de •*, pour servir de supplément aux Lettres du marquis de Roselle, par monsieur de ***";;
"DESFORGES, Pierre-Jean-Baptiste Choudard";"Edouard et Arabelle ou l’élève de l’infortune et de l’amour, ouvrage tiré des mémoires secrets de deux familles anglaises, par le C60 Desforges";;
"DESFORGES, Pierre-Jean-Baptiste Choudard";"Eugène et Eugénio ou la méprise conjugale, histoire de deux enfans d’une nuit d’erreur et de leurs parens, par le Œ” Desforges";;
"DESFORGES, Pierre-Jean-Baptiste Choudard";"Le poète ou mémoires d’un homme de lettres, écrits par lui-même";;
"DESFORGES, Pierre-Jean-Baptiste Choudard Adelphine de";"Rostanges ou la mère qui ne fut point épouse, histoire véritable, rédigée par le C60. Desforges";;
"DESMARETS";"Le triomphe de la nature, roman nouveau";;
"DEVAINES, Jean";"Lettres de la comtesse de.....au chevalier de.....";;
"DIANNYERE, Antoine";"Souvenirs de mylady Cartemane ou les mœurs du tems passé, par Antoine Diannyère, associé de l’Institut national, etc.";;
"DIDEROT, Denis";"Exemple singulier de la vengeance d’une femme, traduction de l’allemand, par J.P. Doray-Longrais";;
"DIDEROT, Denis";"La religieuse, par Diderot";;
"DIDEROT, Denis";"Jacques le fataliste et son maître, par Diderot";;
"DIDEROT, Denis";"Pensées philosophiques en françois et en italien, auxquelles on a ajouté un Entretien d’un philosophe avec Mde la duchesse de ***, ouvrage posthume de Thomas Crudeli, en italien et en françois, par le même auteur";;
"DIDEROT, Denis et Salomon GESSNER éd. par Jean-Henri et MEISTER";"Contes moraux et nouvelles idylles de D ... et Salomon Gessner";;
"DIDOT, Pierre";"Cléomene ou tableau abrégé des passions, extrait d’un manuscrit trouvé chez les Caloyers du Mont-Athos";;
"DIDOT, Pierre";"Le comte de Tersanc, histoire presque véritable, par l’auteur de Cléomène et du Somnambule";;
"DIDOT, Pierre";"L’ami des jeunes demoiselles, suivi d’une épître aux célibataires, par M. Didot fils aîné";;
"DIÈRES";"Les trois âges de l’amour ou le portefeuille d’un petit-maître";;
"DIGARD DE KERGUETTE, Jean";"L’humanité récompensée par l’amour, ouvrage traduit de l’espagnol";;
"DIONIS, mademoiselle";"Origine des Grâces, par mademoiselle D“**";;
"DOGNON, J. -F.";"Un mois d’hiver d’Alphonse ou campagnes galantes par un hussard, anecdotes françaises recueillies et publiées par J.-F. Dognon, avec figures et musique";;
"DOMAIRON, Louis";"Le libertin devenu vertueux ou mémoires du comte D’***";;
"DOPPET, François-Amédée";"Célestina ou la philosophe des Alpes, histoire récente, mise au jour d’après les mémoires de l’héroïne et publiée par monsieur D.....";;
"DOPPET, François-Amédée";"Mémoires de madame de Warens, suivis de ceux de Claude Anet, publiés par un C.D.M.D.P., pour servir d’Apologie aux Confessions de J.J. Rousseau";;
"DOPPET, François-Amédée";"Zélamire ou les liaisons bizarres, histoire récente mise au jour d’après les mémoires de l’héroïne et publiée par l’éditeur de Célestina";;
"DOPPET, François-Amédée";"Le commissionnaire de la ligue d’Outrc-Rhin ou le messager nocturne, contenant l’histoire de l’émigration françoise, les aventures galantes et politiques arrivées aux chevaliers françois et à leurs dames dans les pays étrangers, des instructions sur leurs projets contre-révolutionnels, et des notices sur tous les moyens tentés ou à tenter contre la Constitution, par un François qui fait sa confession générale et qui rentre dans sa patrie";;
"DOPPET, François-Amédée";"Le médecin de l’amour, par M. Doppet, docteur en médecine de la Faculté de Turin";;
"DOPPET, François-Amédée";"Vintzenried ou les mémoires du chevalier de Courtille, pour servir de suite aux Mémoires de madame de Warens, à ceux de Claude";;
"DORAT, Claude-Joseph";"Folie de la prudence humaine, par madame Benoist";;
"DORAT, Claude-Joseph";"Les deux reines, drame héroïque en cinq actes et en prose, suivi de Sylvie et Moléshoff, imitation libre de l’anglois";;
"DORAT, Claude-Joseph";"Lettres du baron d’OIban";;
"DORVIGNY, Louis-Archambault";"Ma tante Geneviève ou je l’ai échappé belle, par Do.....y";;
"DORVIGNY, Louis-Archambault";"Le nouveau roman comique ou aventures d’un souffleur, d’un perruquier et d’un costumier de spectacle";;
"DORVIGNY, Louis-Archambault";"Les quatre cousins et l’inventaire d’un mauvais riche";;
"DU HAUTCHAMP";"Histoire de Ruspia ou la belle Circassienne";;
"DU L AU RENS, abbé Henri-Joseph";"Le compère Mathieu ou les bigarrures de l’esprit humain";;
"DU LAURENS, abbé Henri-Joseph";"L’antipapisme révélé ou les rêves de l’antipapiste";;
"DU LAURENS, abbé Henri-Joseph";"Je suis pucellc, histoire véritable";;
"DU LAURENS. abbé Henri-Joseph";"Imirce ou la fille de la nature";;
"DU TERRAIL, Joseph";"Durey de Sauvoy, marquis La princesse de Gonsague, roman historique";;
"DUBOIS-FONTANELLE, Joseph-Gaspard";"Les effets des passions ou mémoires de monsieur de Floricourt";;
"DUBOIS-FONTANELLE, Joseph-Gaspard";"Contes philosophiques et moraux";;
"DUBOIS-FONTANELLE, Joseph-Gaspard";"Aventures philosophiques";;
"DUBOIS-FONTANELLE, Joseph-Gaspard";"Nouveaux mélanges sur différens sujets, contenant des essais dramatiques, philosophiques et littéraires";;
"DUBOIS-FONTANELLE, Joseph-Gaspard";"Naufrage et aventures de M. Pierre Viaud, natif de Bordeaux, capitaine de navire";;
"DUBOURG";"Fables et contes moraux";;
"DUCHE DE VANCY, Joseph-François";"Histoires édifiantes pour servir de lecture aux jeunes personnes de l’un & de l’autre sexe, nouvelle édition augmentée de plusieurs histoires & de quelques extraits des plus célèbres poètes françois sur les matières qui ont rapport à la piété";;
