YON, le chevalier is creator of Les femmes de mérite, histoires françoises
MIRABEAU, Honoré-Gabriel de Riqueti, comte de is creator of La morale des sens ou l’homme du siècle, extrait des mémoires de M. le chevalier de Barville, rédigés par M. M ... D.M.
CAGNIARD is creator of Histoire d’une famille, par M. D’Orson, mise au jour par M. Cagniard, avec figures
http://www.viaf.org/viaf/27092576 is creator of Mon radotage et celui des autres, recueilli par un invalide retiré du monde pendant son Carnaval
http://www.viaf.org/viaf/38011631 is creator of Lettres à Émilie sur la mythologie, par M. de Moustier
http://www.viaf.org/viaf/2477613 is creator of Histoire des Galligènes ou mémoires de Duncan
BENOIST, Françoise-Albine Puzin de La Martinière, madame is creator of Journal en forme de lettres mêlé de critiques et d’anecdotes, par Madame B**
ROSNY, Antoine-Joseph-Nicolas de is creator of Adèle et Germeuil ou I’hermitage des monts Pyrénées, par A.J. Rosny, orné de figures dessinées par Quéverdo et gravées par Villeray
NOUGARET, Pierre-Jean-Baptiste is creator of Les passions des différents âges ou tableau des folies du siècle par M. N***
http://www.viaf.org/viaf/49234879 is creator of Le sacre de Numa ou Egérie, histoire trouvée dans les ruines d’Ilerculanuin
http://www.viaf.org/viaf/2477613 is creator of n Amilec ou la graine d’hommes qui sert à peupler les planètes, par L’A. D. P***. Troisième édition, augmentée très considérablement
http://www.viaf.org/viaf/97981912 is creator of Les amans illustres ou la nouvelle Cléopâtre par madame D***
PÉTRONE. Titus Petronius Arbiter is creator of Les deux matrones ou les infidélités démasquées, ouvrage posthume de M. Fréron, enrichi de notes curieuses & intéressantes, avec figures
CHEVRIER, François-Antoine is creator of Mémoires de madame la baronne de Saint Clair
http://www.viaf.org/viaf/13404985 is creator of Le passe-tems ou recueil de contes intéressans, moraux & récréatifs par M. Brunet de Baines
http://www.viaf.org/viaf/97353015 is creator of Le nouveau Robinson, pour servir à l’amusement & à l’in struction des enfans, traduit de l’allemand de Mr. Campe Hambourg, chez l’auteur et en commission chez Charles Ernest
GALLAND, Antoine is creator of Antonio ou les toumicns de l’amour et ses douces illusions dans un cœur sensible, par A.G......d, avec figure
GENLIS, Stéphanie-Félicité Ducrest de Saint-Aubin, marquise de Sillery, comtesse de is creator of Les veillées du château ou cours de morale à l’usage des enfans par l’auteur d’/ldè/e et Théodore
MAUBERT DE GOUVEST, Jean-Henri is creator of L’illustre païsan ou mémoires et avantures de Daniel Moginié, natif du village de Chezales au canton de Berne, bailliage de Moudon, mort à Agra le 22 de mai 1748, âgé de 39 ans; Om-rah de la I re classe. Commandant de la seconde garde mogole, grand portier du palais de l’empereur, et Gouverneur de Paln-geâb; où se trouvent plusieurs particularités, anecdotes des dernières révolutions de la Perse ct de I’Indostan et du règne de Thamas-Kouli-Kan, écrit ct adressé par lui même à son frère François, son légataire.
http://www.viaf.org/viaf/232877362 is creator of Nine, par M. D. B.
BRICAIRE DE LA DIXMERIE, Nicolas is creator of Les dangers d’un premier choix ou lettres de Laure à Emilie par M. de La Dixmerie
http://www.viaf.org/viaf/254500 is creator of Taconnet ressuscité voyageant à Paris et en province
http://www.viaf.org/viaf/29529511 is creator of La belle Syrienne, roman en trois parties, par l’auteur du Mont-Henneth et des Dunes de Barrham, traduit de Langlois
http://www.viaf.org/viaf/68934303 is creator of Pigault de l’Epinay, dit Adèle et d’Abligny, par Pigault-Lebrun
http://www.viaf.org/viaf/64021324 is creator of Dominique Vivant et d’autres L’abeille littéraire ou choix des morceaux les plus intéressants de philosophie, d’histoire, de littérature, de poésie, etc.
DEMOUSTIER, Charles-Albert is creator of Lettres à Émilie sur la mythologie, par M. de Moustier
DANTE ALIGHIERI is creator of L’enfer, poème du Dante, traduction nouvelle
CHÉRENSI, B. Frere de is creator of Les prémices de ma jeunesse ou Arlequin héros dans le royaume de Cathai, en l’an du Seigneur 12012, par B.F.D. Chérensi
http://www.viaf.org/viaf/2583447 is creator of Camille et Formose, histoire italienne, par P.A.L. Maton (de la Varennc)
MARESCOT, Michel is creator of Mahulem, histoire orientale
LA CALPRENÈDE, Gautier de Coste de is creator of Les amans illustres ou la nouvelle Cléopâtre par madame D***
KERATRY, Auguste-Hilarion de is creator of Voyage de vingt-quatre heures, par Auguste-Hilarion Kératry, avec trois estampes en taille-douce
BOISGIRON, madame de is creator of Lettres de mademoiselle de Boismiran, recueillies et publiées par madame de ***
BOISGELIN DE KERDU, chevalier Pierre-Marie-Louis de et m Alphonse-Toussaint-Joseph-André-Marie Marseille, comte de FORTIA DE PILES is creator of Correspondance philosophique de Caillot Duval, rédigée d’après les pièces originales et publiée par une société de littérateurs lorrains
http://www.viaf.org/viaf/12438453 is creator of Pièces fugitives en prose et en vers, par L***
http://www.viaf.org/viaf/64046400 is creator of Mémoires de Clarence Wclldonc ou le pouvoir de la vertu, histoire angloise, par madame de Malarme
DAUBENTON, Marguerite is creator of Supplément à l’histoire de Zélie dans le désert, par madame D......, pour servir de suite à la première & seconde édition
CARACCIOLI, Louis-Antoine, marquis de is creator of Suite des Entretiens du Palais-Royal Spa &
http://www.viaf.org/viaf/12989036 is creator of Les veillées de Minerve ou recueil de nouvelles morales
BEAUHARNAIS, Fanny de is creator of Le somnambule, œuvres posthumes en prose et en vers, où l’on trouve l’histoire générale d’une Isle très-singulière, découverte aux grandes Indes en 1784
http://www.viaf.org/viaf/46764568 is creator of Mes délassements ou recueil choisi de contes moraux et historiques traduits de différentes langues par mademoiselle M. de Morville
JOHNSTON, Charles is creator of Supplément à Chrysal ou les nouvelles aventures d’une guinée, traduites de l’anglais par mylord Aleph
http://www.viaf.org/viaf/22479840 is creator of Zély ou la difficulté d’être heureux, roman indien, suivi de Zima et des Amours de Victorine et de Philogène, publiés par A.M. Dantu
