Mélanges de 
Lettres curieuses

Mon radotage 
Tableau du 
Anecdote prophétique 
Lettres de 
L’espion ou 
Bigarrures philosophiques

Relation de 
Les femmes 
La brunette 
Les Capucins 
Le philosophe 
Romans traduits 
La reine 
Mémoires et 
Honny soit 
Mémoires du 
Les rêves 
Contes moraux 
La raison 
Les impostures 
La petite-nièce 
La Messalinc

Lettres de 
Les amours 
Relation de 
Aventures de 
Mémoires d’un 
Les deux 
Mémoires de 
Le voyageur 
Seconde suite 
La blondine 
La force 
Lettres de 
Lettres galantes 
Le Pythagore 
Rêve d’un 
Le grelot 
La petite 
Les amusemens 
Le colporteur

Suite de 
Amélie
Amélie

L’Iliade
Lettres 
Les promenades 
Les soirées 
Les succès 
La vie 
Crussol mt 
Le baron 
MARIN
Les 
Alzarac ou 
Lettres angloises 
La paysanne 
Émile ou 
Mémoires pour 
Mémoires de 
Le Jésuite 
Les usages 
Rousseau
Les 
Confidences à 
Les deux 
Histoire anglaise 
Histoire des 
Histoire de 
Lettres d’un 
Lettres trouvées 
Mémoires pour 
Nouvelles monacales 
Le pauvre 
Philochore et 
Relation d’une 
Roman nocturne

Contes de 
Guillard de 
Histoire des 
Le noble

L’enfant trouvé 
Lettres d’Henriette 
Le hazard 
Histoire de 
Belot Ophélie

Almoran et 
Jupiter ou 
Mémoires du 
Le citoyen 
Fables nouvelles

Le méchant 
Les hommes 
Henriette de 
La voix 
Le danger 
L’amour éprouvé 
Le nouvel 
Contes moraux 
L’amant auteur 
L’amour précepteur 
Ardasire ou 
L’aventure du 
Le bâtard 
La constance 
Diogène conteur 
Essai de 
Histoire de 
Les loisirs 
Oeuvres diverses 
Fanni ou 
L’homme ou 
la vie 
de adapt 
Apologues orientaux 
Histoire de 
Histoire d’une 
Mémoires d’Azéma

Nouveau recueil 
Lettres du 
Mémoires d’une 
Daphnis et 
Le premier 
L’espion chinois 
L’ami des 
L’Iliade d’Homère

Lettres de 
Instructions pour 
Fables et 
Le philosophe 
Le pêcheur 
Lettre d’un 
La boucle 
Contes
Histoire 
Lettres de 
Les plaisirs 
